INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
700148,GHA,2014,541230,,
700148,GRC,2015,124200,,
700148,HND,2010,108732,,
700148,HND,2015,139463.92905,,
700148,HRV,2015,65924,,
700148,HUN,2014,139329,,
700148,HUN,2015,145678,,
700148,ISL,2015,8400,,
700148,ISR,2014,139646,,
700148,ITA,2014,902681,,
700148,ITA,2015,899110,,
700148,KOR,2014,1733000,,
700148,KOR,2015,1789000,,
700148,LKA,2015,497539.46242,,
700148,LTU,2014,50929,,
700148,LTU,2015,56919,,
700148,LUX,2014,12370,,
700148,LUX,2015,10261,,
700148,LVA,2014,48900,,
700148,LVA,2015,47500,,
700148,MAC,2014,7700,,
700148,MAC,2015,7400,,
700148,MDA,2014,45344,,
700148,MDA,2015,50337,,
700148,MDV,2014,13164,,
700148,MEX,2014,2191104,,
700148,MEX,2015,2303520,,
700148,MKD,2014,31686.52000,,
700148,MKD,2015,30317,,
700148,MLI,2014,108923.43640,,
700148,MLI,2015,279743,,
700148,MLT,2014,10721,,
700148,MLT,2015,8035,,
700148,MNG,2014,35002,,
700148,MNG,2015,62634,,
700148,MOZ,2014,152631,,
700148,MYS,2014,337000,,
700148,MYS,2015,406800,,
700148,NIC,2009,65052,,
700148,NLD,2014,333000,,
700148,NLD,2015,331000,,
700148,PAK,2014,3373238,,
700148,PAK,2015,3782432,,
700148,PAN,2013,81445,,
700148,PAN,2016,80087,,
700148,PER,2013,640769,,
700148,PHL,2014,837760,,
700148,PHL,2015,813301,,
700148,PRI,2014,26394,,
700148,PRI,2015,30040.75000,,
700148,PRT,2014,186295.49467,,
700148,PRT,2015,186024.70327,,
700148,PRY,2010,136991,,
700148,PSE,2014,8000,,
700148,PSE,2015,7500,,
700148,ROU,2014,320727,,
700148,ROU,2015,307602,,
700148,RUS,2014,3894235,,
700148,SLV,2013,15562,,
700148,SRB,2014,108660.11290,,
700148,SRB,2015,106881.72708,,
700148,SVK,2014,91700,,
700148,SVK,2015,88100,,
700148,SVN,2014,42440,,
700148,SVN,2015,43806,,
700148,SVN,2016,45736,,
700148,SWE,2014,184595,,
700148,SWE,2015,185059,,
700148,SXM,2013,470,,
700148,SYC,2012,0,NA,
700148,TGO,2015,139013,,
700148,THA,2014,1402810,,
700148,THA,2015,1403317.36450,,
700148,TUR,2014,1184998,,
700148,TUR,2015,1195865.90900,,
700148,UGA,2012,229529.41000,,
700148,URY,2013,22111,,
700148,VNM,2014,2551000,,
700148,VNM,2015,2431700,,
700148,ZAF,2014,383746.80801,,
700149,ARM,2014,74222,,
700149,ARM,2015,14171.57419,,
700149,AUT,2014,59000,,
700149,AUT,2015,58000,,
700149,BEL,2014,72990,,
700149,BEL,2015,67288,,
700149,BGR,2014,29900,,
700149,BGR,2015,35400,,
700149,BIH,2014,28906,,
700149,BIH,2015,25314.47818,,
700149,BMU,2010,911,,
700149,BOL,2011,55027,,
700149,BOL,2015,109621,,
700149,BRN,2014,3101.30754,,
700149,CAN,2015,331200,,
700149,CHE,2014,85768,,
700149,CHL,2013,107826,,
700149,CPV,2015,947,,
700149,CRI,2015,26524,,
700149,CYM,2016,731,,
700149,CZE,2014,80942,,
700149,CZE,2015,71917,,
700149,DEU,2015,1186900,,
700149,DNK,2013,52401,,
700149,DNK,2014,51990.45000,,
700149,DOM,2013,21601,,
700149,ECU,2013,4198,,
700149,ECU,2015,122753.20000,,
700149,ESP,2014,226010,,
700149,ESP,2015,235300,,
700149,EST,2014,14475,,
700149,EST,2015,16092,,
700149,FIN,2014,51200,,
700149,FIN,2015,56769,,
700149,FRA,2014,350748,,
700149,FRA,2015,341638,,
700149,GHA,2014,191936,,
700149,GRC,2015,43500,,
700149,HND,2010,28605,,
700149,HND,2015,85265.11400,,
700149,HRV,2015,51575,,
700149,HUN,2014,50220,,
700149,HUN,2015,56615,,
700149,ISL,2015,6400,,
700149,ISR,2014,49446,,
700149,ITA,2014,293606,,
700149,ITA,2015,285384,,
700149,KOR,2014,311000,,
700149,KOR,2015,310000,,
700149,LKA,2015,57073.49324,,
700149,LTU,2014,21059,,
700149,LTU,2015,22013,,
700149,LUX,2014,3968,,
700149,LUX,2015,4056,,
700149,LVA,2014,25900,,
700149,LVA,2015,23000,,
700149,MAC,2014,8700,,
700149,MAC,2015,9100,,
700149,MDA,2014,9411,,
700149,MDA,2015,7271,,
700149,MDV,2014,2460,,
700149,MEX,2014,2636903,,
700149,MEX,2015,2705991,,
700149,MKD,2014,6810.40000,,
700149,MKD,2015,5817,,
700149,MLI,2014,70121.95018,,
700149,MLI,2015,60882,,
700149,MLT,2014,5778,,
700149,MLT,2015,4461,,
700149,MNG,2014,8340,,
700149,MNG,2015,21049,,
700149,MOZ,2014,13182,,
700149,MYS,2014,112500,,
700149,MYS,2015,120800,,
700149,NIC,2009,9985,,
700149,NLD,2014,122000,,
700149,NLD,2015,128000,,
700149,PAK,2014,379997,,
700149,PAK,2015,440945,,
700149,PAN,2013,9405,,
700149,PAN,2016,8165,,
700149,PER,2013,144490,,
700149,PHL,2014,291210,,
700149,PHL,2015,309607,,
700149,PRI,2014,16444,,
700149,PRI,2015,22317.45000,,
700149,PRT,2014,79094.39928,,
700149,PRT,2015,89913.77568,,
700149,PRY,2010,20493,,
700149,PSE,2014,11300,,
700149,PSE,2015,17100,,
700149,ROU,2014,59988,,
700149,ROU,2015,51627,,
700149,RUS,2014,1539981,,
700149,SLV,2013,18948,,
700149,SRB,2014,47704.59955,,
700149,SRB,2015,39270.11927,,
700149,SVK,2014,20700,,
700149,SVK,2015,19200,,
700149,SWE,2014,75200,,
700149,SWE,2015,78531.50000,,
700149,SXM,2013,183.41120,,
700149,SYC,2012,0,NA,
700149,TGO,2015,9687,,
700149,THA,2014,350890,,
700149,THA,2015,332614.91090,,
700149,TUR,2014,442088,,
700149,TUR,2015,468658.10600,,
700149,UGA,2012,124335.42000,,
700149,URY,2013,26981,,
700149,VNM,2014,315400,,
700149,VNM,2015,346900,,
700150,ARM,2014,1011732,,
700150,ARM,2015,1017822.66005,,
